Event Generated Time (UTC),Event ID,Event Description,Event Category,Threat Target IPv4 Address,Action Taken,Agent GUID
7/30/13 11:08:38 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/30/13 11:08:35 PM,1059,Scan Timed Out,Operational,12.205.13.105,None,83B0054F-766C-4087-803E-1945B141B351
7/30/13 11:08:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:08:02 PM,1059,Scan Timed Out,Operational,12.205.13.105,None,83B0054F-766C-4087-803E-1945B141B351
7/30/13 11:07:43 PM,1059,Scan Timed Out,Operational,144.170.33.105,None,091EF3AE-62AE-4FB3-B5DC-09E99EADA111
7/30/13 11:07:31 PM,1059,Scan Timed Out,Operational,144.170.33.107,None,1FF0DCA2-B65F-4E1C-B3AC-A99CBEE8352B
7/30/13 11:07:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:07:01 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/30/13 11:06:34 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/30/13 11:06:33 PM,1059,Scan Timed Out,Operational,12.205.13.102,None,DDB992D4-FC2D-4B88-8282-469566BE1E79
7/30/13 11:06:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:06:01 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/30/13 11:05:57 PM,18000,Host intrusion detected and handled,Registry,104.12.21.10,Permitted,982A0DAB-CD96-4A95-A7C1-01DD77B4F90E
7/30/13 11:05:57 PM,18000,Host intrusion detected and handled,Registry,104.12.21.10,Permitted,982A0DAB-CD96-4A95-A7C1-01DD77B4F90E
7/30/13 11:05:54 PM,1059,Scan Timed Out,Operational,144.170.34.102,None,F79F6FD2-19ED-44CD-AE74-5A5A379D29B2
7/30/13 11:05:47 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/30/13 11:05:28 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 11:05:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:05:15 PM,18000,Host intrusion detected and handled,Program,144.170.33.100,Permitted,29AAED2C-C79B-440E-A506-6B480A2654B7
7/30/13 11:05:14 PM,18000,Host intrusion detected and handled,Services,144.170.33.100,Permitted,29AAED2C-C79B-440E-A506-6B480A2654B7
7/30/13 11:05:13 PM,18000,Host intrusion detected and handled,Program,144.170.33.100,Permitted,29AAED2C-C79B-440E-A506-6B480A2654B7
7/30/13 11:04:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:04:26 PM,18000,Host intrusion detected and handled,Registry,104.12.21.11,Permitted,EC3C7893-D0E7-4560-987A-78077AFBD55B
7/30/13 11:04:26 PM,18000,Host intrusion detected and handled,Registry,104.12.21.11,Permitted,EC3C7893-D0E7-4560-987A-78077AFBD55B
7/30/13 11:04:16 PM,18000,Host intrusion detected and handled,Registry,144.170.91.10,Permitted,E3A32768-3207-40E4-82BB-41D955521626
7/30/13 11:04:15 PM,18000,Host intrusion detected and handled,Registry,144.170.91.10,Permitted,E3A32768-3207-40E4-82BB-41D955521626
7/30/13 11:04:12 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:04:12 PM,1059,Scan Timed Out,Operational,12.205.13.102,None,DDB992D4-FC2D-4B88-8282-469566BE1E79
7/30/13 11:04:11 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:03:48 PM,18000,Host intrusion detected and handled,Registry,12.205.21.10,Permitted,306C0164-4C8F-492E-A571-EE9923784570
7/30/13 11:03:47 PM,18000,Host intrusion detected and handled,Registry,12.205.21.10,Permitted,306C0164-4C8F-492E-A571-EE9923784570
7/30/13 11:03:45 PM,18000,Host intrusion detected and handled,Registry,12.205.21.13,Permitted,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 11:03:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:03:26 PM,1059,Scan Timed Out,Operational,12.205.13.102,None,DDB992D4-FC2D-4B88-8282-469566BE1E79
7/30/13 11:03:14 PM,1059,Scan Timed Out,Operational,144.170.33.107,None,1FF0DCA2-B65F-4E1C-B3AC-A99CBEE8352B
7/30/13 11:03:01 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
